"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"134","수영장업","10_35_01_P","6520000","CDFH3301012017000003","20170113","","03","폐업","03","폐업","20200630","","","","","","","","제주특별자치도 서귀포시 색달중앙로252번길 124 (색달동)","63549","(주)호텔롯데 롯데리조트제주","20200630151017","U","2020-07-02 02:40:00.0","","145656.86993600000","-22815.5055507","수영장업","사립","","","","","","","",
"135","수영장업","10_35_01_P","6520000","CDFH3301012017000004","20170531","","03","폐업","03","폐업","20210629","","","","","","","","제주특별자치도 서귀포시 516로277번길 45 (토평동)","63580","벨룸(Velum)리조트","20210630170925","U","2021-07-02 02:40:00.0","","160820","-23839","수영장업","사립","","1","","","","","",
"136","수영장업","10_35_01_P","6520000","CDFH3301012008000001","20080407","","03","폐업","03","폐업","20081231","","","","733-1664","","697810","제주특별자치도 서귀포시 서귀동 240번지","제주특별자치도 서귀포시 태평로 474  (서귀동)","","서귀포중학교내 실내수영장","20091123102701","I","2018-08-31 23:59:59.0","","159907.889209","-27451.3844533","수영장업","사립","","","","","","","",
"137","수영장업","10_35_01_P","6520000","CDFH3301012009000001","20090313","","03","폐업","03","폐업","20200916","","","","732-5248","","697810","제주특별자치도 서귀포시 서귀동 240","제주특별자치도 서귀포시 태평로 474 (서귀동)","","서귀포중학교 실내수영장","20200916181433","U","2020-09-18 02:40:00.0","","159907.889209","-27451.3844533","수영장업","사립","","2","","","","","",
"138","수영장업","10_35_01_P","6520000","CDFH3301012013000001","20131219","","03","폐업","03","폐업","20170526","","","","","","697826","제주특별자치도 서귀포시 강정동 173번지","제주특별자치도 서귀포시 김정문화로 15 (강정동)","63566","호텔빠레브 수영장","20170526190427","I","2018-08-31 23:59:59.0","","153950.470738","-26946.5120464","수영장업","사립","","","","14258.39","","","",
"139","수영장업","10_35_01_P","6520000","CDFH3301012014000001","20140922","","03","폐업","03","폐업","20170426","","","","","","697828","제주특별자치도 서귀포시 강정동 용흥로66번길 158-7","제주특별자치도 서귀포시 용흥로66번길 158-7 (강정동)","63556","토스카나호텔 수영장","20170426114355","I","2018-08-31 23:59:59.0","","151828","-25495","수영장업","사립","Y","1","5","4030.01","","","",
"140","수영장업","10_35_01_P","6520000","CDFH3301012017000005","20170712","","03","폐업","03","폐업","20210531","","","","","","","제주특별자치도 서귀포시 상예동 161","제주특별자치도 서귀포시 상예로 319 (상예동, 서귀포호텔)","63548","(주)알피티코리아","20211008133846","U","2021-10-10 02:40:00.0","","143565.443782","-24596.2398348","수영장업","사립","","0","0","0","0","","",
"141","수영장업","10_35_01_P","5600000","CDFH3301011993000001","19930702","","03","폐업","03","폐업","20080307","","","","031-532-1808","","487840","경기도 포천시 화현면 화현리 508-1번지","경기도 포천시 화현면 화동로432번길 26","","운악산 향토","20080307144833","I","2018-08-31 23:59:59.0","","227270.754085611","489188.063166565","수영장업","사립","0","","","2440","","","",
"142","수영장업","10_35_01_P","5600000","CDFH3301011995000001","19950724","","03","폐업","03","폐업","20150522","","","","534-4489","","487892","경기도 포천시 영북면 산정리 79번지","경기도 포천시 영북면 산정호수로 693","","산정리조트","20150522154046","I","2018-08-31 23:59:59.0","","228541.826820163","506937.48871927","수영장업","사립","0","","","","","","",
"143","수영장업","10_35_01_P","5600000","CDFH3301011995000002","19950729","","03","폐업","03","폐업","19980613","","","","533-5202","","487913","경기도 포천시 신북면 삼성당리 460-2번지","경기도 포천시 신북면 포천로2414번길 24","","삼광","20060103152809","I","2018-08-31 23:59:59.0","","217114.288418043","495914.76132383","수영장업","사립","0","","","","","","",
"144","수영장업","10_35_01_P","5600000","CDFH3301011996000001","19960729","","03","폐업","03","폐업","20130314","","","","534-5500","","487892","경기도 포천시 영북면 산정리 454-4번지","경기도 포천시 영북면 산정호수로 402","","한화호텔앤드리조트","20130314183717","I","2018-08-31 23:59:59.0","","227517.61144726","507014.18422547","수영장업","사립","0","","","","","","",
"145","수영장업","10_35_01_P","5600000","CDFH3301011999000001","19990719","","03","폐업","03","폐업","20020820","","","","533-9732","","487851","경기도 포천시 일동면 기산리 609번지","경기도 포천시 일동면 화동로932번길 57","","일동수영장","20060104095522","I","2018-08-31 23:59:59.0","","227890.359904924","493559.002949583","수영장업","사립","0","","","","","","",
"146","수영장업","10_35_01_P","5600000","CDFH3301012003000001","20031128","","03","폐업","03","폐업","20110215","","","","031-5418365","","487823","경기도 포천시 소흘읍 송우리 87-3번지","경기도 포천시 소흘읍 솔모루로 124-18","","(주)대한체육산업개발 포천지점 청명스포츠센터","20110215163922","I","2018-08-31 23:59:59.0","","213200.237275547","481090.356290078","수영장업","사립","0","","","","","","",
"147","수영장업","10_35_01_P","5600000","CDFH3301012004000001","20040630","","03","폐업","03","폐업","20150630","","","","","","487821","경기도 포천시 소흘읍 직동리 205번지","","","광릉분재예술공원 수영장","20150630140109","I","2018-08-31 23:59:59.0","","214712.232761306","475363.572531221","수영장업","사립","","","","","","","",
"148","수영장업","10_35_01_P","5600000","CDFH3301012008000001","20080602","","03","폐업","03","폐업","20180718","","","","","","487840","경기도 포천시 화현면 화현리 508-2번지 ,508-1, 509-4","경기도 포천시 화현면 화동로432번길 26 (508-1, 508-2, 509-4)","11123","운악수영장","20180719092803","I","2018-08-31 23:59:59.0","","227271.049042162","489213.559578604","수영장업","사립","Y","","","","","","",
"149","수영장업","10_35_01_P","5600000","CDFH3301012008000002","20080703","","03","폐업","03","폐업","20150528","","","","","","487911","경기도 포천시 신북면 가채리 641-5번지","경기도 포천시 신북면 왕방로279번길 120-16","","왕방야외수영장","20150528093709","I","2018-08-31 23:59:59.0","","217348.40755125","489729.532995933","수영장업","사립","0","","","","","","",
"150","수영장업","10_35_01_P","6510000","CDFH3301012019000003","20190613","","03","폐업","03","폐업","20190704","","","","","","","제주특별자치도 제주시 한경면 청수리 2130번지","제주특별자치도 제주시 한경면 낙수로 271-40","63006","돌하르방 캠핑장","20190704153212","U","2019-07-06 02:40:00.0","","129072.145881","-18872.245767","수영장업","사립","Y","","","","","","",
"151","수영장업","10_35_01_P","3460000","CDFH3301012011000001","20110630","","03","폐업","03","폐업","20170518","","","","053-602-7114","","","대구광역시 수성구 만촌동 300번지","대구광역시 수성구 팔현길 212 (만촌동, 호텔인터불고)","42064","(주)즐거운세상 인터불고호텔 실외수영장","20170518171046","I","2018-08-31 23:59:59.0","","349910.333288","264894.753601","수영장업","사립","","2","","21489.27","","","",
"152","수영장업","10_35_01_P","3460000","CDFH3301012011000002","20111006","","03","폐업","03","폐업","20171013","","","","761-4200","","","대구광역시 수성구 두산동 105번지 대우트럼프월드 수성 C-B3","대구광역시 수성구 동대구로 59, C동 B3층 (두산동, 대우트럼프월드수성아파트)","42171","비잔휘트니스","20171013142916","I","2018-08-31 23:59:59.0","","346571.168775","260826.314023","수영장업","사립","","2","","","","","",
"153","수영장업","10_35_01_P","3460000","CDFH3301012002000001","20020503","","03","폐업","03","폐업","20170405","","","","742-6868","","706808","대구광역시 수성구 만촌동 산 395번지","대구광역시 수성구 달구벌대로528길 15 (만촌동)","42078","강산스포츠센터","20170405124436","I","2018-08-31 23:59:59.0","","348665.873375","262623.706996","수영장업","사립","","","","","","","",
"154","수영장업","10_35_01_P","3460000","CDFH3301012005000001","20050620","","03","폐업","03","폐업","20070221","","","","764-0235","","706828","대구광역시 수성구 상동 89-2번지 수성초등학교내","대구광역시 수성구 상화로5길 40  (상동,수성초등학교내)","","수성 수영장","20070406170343","I","2018-08-31 23:59:59.0","","345417.083514","260825.254495","수영장업","사립","0","","","","","","",
"155","수영장업","10_35_01_P","3460000","CDFH3301012007000001","20070308","","03","폐업","03","폐업","20190611","","","","053-767-7400","","","대구광역시 수성구 상동 89-2번지 수성초등학교 지하1층","대구광역시 수성구 상화로5길 40, 지하층 (상동, 대구수성초등학교)","42157","수성수영장","20190611191648","U","2019-06-13 02:40:00.0","","345417.083514","260825.254495","수영장업","사립","Y","","","","","","",
"156","수영장업","10_35_01_P","5130000","CDFH3301012010000001","20100715","","03","폐업","03","폐업","20210111","","","","","","","경상북도 경산시 남천면 금곡리 668-14","경상북도 경산시 남천면 남천로 305-61","38696","경산스파월드","20210111161235","U","2021-01-13 02:40:00.0","","356929.17840946","252553.184518251","수영장업","사립","Y","2","1","4722","500","","",
"157","수영장업","10_35_01_P","5420000","CDFH3301012011000001","20110811","","03","폐업","03","폐업","20140515","","","","055-670-4463","","638931","경상남도 고성군 하이면 덕명리 15번지","경상남도 고성군 하이면 덕명5길 53-7","638931","상족암해변해수풀장","20150424081318","I","2018-08-31 23:59:59.0","","305554.154255187","157402.974844106","수영장업","사립","Y","","","","","","",
"158","수영장업","10_35_01_P","4810000","CDFH3301012004000001","20040529","","03","폐업","03","폐업","20080923","","","","","","555807","전라남도 여수시 학동 36-1번지","전라남도 여수시 시청로 34  (학동)","","신세계수영장","20100112141024","I","2018-08-31 23:59:59.0","","260652.444161","140887.712945","수영장업","사립","","","","","","","",
"159","수영장업","10_35_01_P","4810000","CDFH3301012008000001","20080617","","03","폐업","03","폐업","20091008","","","","692-2890","","555804","전라남도 여수시 신기동 140번지","전라남도 여수시 선소로 72-28  (신기동)","","신화스포츠센타","20100112140918","I","2018-08-31 23:59:59.0","","261054.075968","139956.196055","수영장업","사립","","","","","","","",
"160","수영장업","10_35_01_P","4810000","CDFH3301012012000002","20120723","","03","폐업","03","폐업","20121102","","","","","","555070","전라남도 여수시 웅천동 1563-1번지","","","여수블루토피아(주)","20121102161924","I","2018-08-31 23:59:59.0","","262329.261477","137819.099496","수영장업","사립","Y","","","","","","",
"161","수영장업","10_35_01_P","4810000","CDFH3301012012000003","20120731","","03","폐업","03","폐업","20210222","","","","061-680-3056","","550190","전라남도 여수시 신월동 1804","전라남도 여수시 신월로 496-25 (신월동)","59747","히든베이호텔","20210222180136","U","2021-02-24 02:40:00.0","","264010.775735","136115.574455","수영장업","사립","Y","1","","17969.05","","","",
"162","수영장업","10_35_01_P","4810000","CDFH3301012018000002","20180702","","03","폐업","03","폐업","20200909","","","","061-664-0001","","","전라남도 여수시 수정동 774-4","전라남도 여수시 오동도로 61-13 (수정동)","59723","베네치아호텔앤리조트","20200909160549","U","2020-09-11 02:40:00.0","","268765.281709","138841.958476","수영장업","사립","Y","1","","26848.34","","","",
"163","수영장업","10_35_01_P","4870000","CDFH3301011995000001","19950731","","03","폐업","03","폐업","20110412","","","","061-783-1414","","542832","전라남도 구례군 산동면 관산리 705-3번지","","","지리산온천수영장","20110412173420","I","2018-08-31 23:59:59.0","","241528.114258","202134.953862","수영장업","사립","1","1","","240","","","",
"164","수영장업","10_35_01_P","4870000","CDFH3301012003000001","20030929","","03","폐업","03","폐업","20140529","","","","","","542832","전라남도 구례군 산동면 대평리 729번지","전라남도 구례군 산동면 지리산온천로 317","542832","더케이호텔엔리조트(주)지리산가족호텔 수영장","20140529102205","I","2018-08-31 23:59:59.0","","241999.824522","202608.463515","수영장업","사립","1","1","1","1208.2","","","",
"165","수영장업","10_35_01_P","4700000","CDFH3301012003000001","20031117","","03","폐업","03","폐업","20061201","","","","063-632-7400","","590100","전라북도 남원시 어현동 37-122번지","전라북도 남원시 소리길 66 (어현동)","","아시아나실외수영장","20151230143424","I","2018-08-31 23:59:59.0","","234883.526729","211475.548352","수영장업","사립","","","","","","","",
"166","수영장업","10_35_01_P","4700000","CDFH3301012003000002","20031117","","03","폐업","03","폐업","20081205","","","","063-633-6011","","590110","전라북도 남원시 신촌동 367번지","전라북도 남원시 원천로 53-14 (신촌동)","","지리산레져텔실내수영장","20151230143516","I","2018-08-31 23:59:59.0","","236203.92359","212486.592232","수영장업","사립","","","","","","","",
"167","수영장업","10_35_01_P","4930000","CDFH3301012001000001","20010817","","03","폐업","03","폐업","20200221","","","","061-535-4440","","536832","전라남도 해남군 계곡면 당산리 107-1번지","전라남도 해남군 계곡면 사촌길 2","","해남흑석산수영장","20200221093326","U","2020-02-23 02:40:00.0","","170166.823613","130470.154583","수영장업","사립","","","","","","","",
"168","수영장업","10_35_01_P","5010000","CDFH3301012009000002","20090706","","03","폐업","03","폐업","20170106","","","","","","535816","전라남도 신안군 압해읍 복룡리 산 283-4번지","","","압해관광농원","20170106140538","I","2018-08-31 23:59:59.0","","138420.524679","153669.491872","수영장업","사립","","","","","","","",
"169","수영장업","10_35_01_P","4750000","CDFH3301012013000001","20130705","","03","폐업","03","폐업","20210729","","","","353-8300","","597832","전라북도 장수군 계남면 신전리 1454-45","전라북도 장수군 계남면 장수로 2662-11","55625","타코마 워터파크","20210729173330","U","2021-07-31 02:40:00.0","","249732.379018","241910.529003","수영장업","사립","Y","0","0","0","0","","",
"170","수영장업","10_35_01_P","4790000","CDFH3301012007000001","20070430","","03","폐업","03","폐업","20090409","","","","","","579803","전라북도 부안군 부안읍 서외리 519-1번지","","","부안타운","20090409150208","I","2018-08-31 23:59:59.0","","","","수영장업","사립","0","","","","","","",
"171","수영장업","10_35_01_P","4790000","CDFH3301012008000001","20080714","","03","폐업","03","폐업","20090904","","","","580-8702","","579851","전라북도 부안군 변산면 격포리 257번지","전라북도 부안군 변산면 변산해변로 51","","아쿠아  월드","20090904170921","I","2018-08-31 23:59:59.0","","151931.764422","237016.992538","수영장업","사립","0","","","","","","",
"172","수영장업","10_35_01_P","3940000","CDFH3301012017000001","20170413","","03","폐업","03","폐업","20170901","","","","031-967-5262","","","경기도 고양시 덕양구 원흥동 440-4번지","경기도 고양시 덕양구 고양대로1670번길 88, 지층 (원흥동)","10552","무지개 수영교실","20170901182303","I","2018-08-31 23:59:59.0","","188113.454357936","460371.20360976","수영장업","사립","Y","","","","","","",
"173","수영장업","10_35_01_P","3940000","CDFH3301012001000002","20010901","","03","폐업","03","폐업","20200803","","","","975-5503","","","경기도 고양시 일산동구 중산동 25-113 부성빌딩","경기도 고양시 일산동구 약산길 2, 부성빌딩 지하층 (중산동)","10319","늘푸른 수영장","20200803135911","U","2020-08-05 02:40:00.0","","181634.555396103","464111.370533332","수영장업","사립","Y","","","","","","",
"174","수영장업","10_35_01_P","3940000","CDFH3301012003000002","20030704","","03","폐업","03","폐업","20060525","","","","02-386-2027","","412140","경기도 고양시 덕양구 효자동 219번지","","","북한산성 수영장","20060525153016","I","2018-08-31 23:59:59.0","","195729.104138891","461422.020411273","수영장업","사립","0","","","","","","",
"175","수영장업","10_35_01_P","3940000","CDFH3301012010000001","20100914","","03","폐업","03","폐업","20110428","","","","031-907-1712","","410810","경기도 고양시 일산동구 마두동 736-1번지 센타21 5001호","경기도 고양시 일산동구 일산로 197,  5001호 (마두동,센타21)","","알유에프수영장","20110428175610","I","2018-08-31 23:59:59.0","","181379.298491518","461340.495214171","수영장업","사립","","","","","","","",
"176","수영장업","10_35_01_P","3940000","CDFH3301012011000002","20110930","","03","폐업","03","폐업","20161102","","","","031-906-7817","","410810","경기도 고양시 일산동구 마두동 736-1번지 센타 21 5층 (5001호)","경기도 고양시 일산동구 일산로 197, 5001호 (마두동, 센타21)","10416","백마 수영장","20161103144945","I","2018-08-31 23:59:59.0","","181379.298491518","461340.495214171","수영장업","사립","Y","2","","","","","",
"177","수영장업","10_35_01_P","3940000","CDFH3301011993000001","19930106","","03","폐업","03","폐업","20040401","","","","964-6132","","412807","경기도 고양시 덕양구 성사동 707-10번지","경기도 고양시 덕양구 고양대로 1399  (성사동)","","금강실내수영장","20040401095749","I","2018-08-31 23:59:59.0","","185788.87331832","461314.747172818","수영장업","사립","0","","","","","","",
"178","수영장업","10_35_01_P","3940000","CDFH3301011989000001","19891127","","03","폐업","03","폐업","20060525","","","","02-359-3911","","412140","경기도 고양시 덕양구 효자동 219번지","","","북한산성풀장","20060525173453","I","2018-08-31 23:59:59.0","","195729.104138891","461422.020411273","수영장업","사립","0","","","","","","",
"179","수영장업","10_35_01_P","3940000","CDFH3301011989000002","19891204","","03","폐업","03","폐업","20080611","","","","962-5000","","412805","경기도 고양시 덕양구 성사동 1번지","","","훼릭스","20080611113902","I","2018-08-31 23:59:59.0","","187569.433792695","460342.136996557","수영장업","사립","0","","","","","","",
"180","수영장업","10_35_01_P","3940000","CDFH3301011998000002","19980121","","03","폐업","03","폐업","20090930","","","","901-2796","","410842","경기도 고양시 일산동구 풍동 616-1번지","경기도 고양시 일산동구 애니골길 85  (풍동)","","서울YMCA일산수련장수영장","20091021185734","I","2018-08-31 23:59:59.0","","181414.4009122","463625.361149426","수영장업","사립","0","","","","","","",
"181","수영장업","10_35_01_P","6520000","CDFH3301012002100001","20021209","","03","폐업","03","폐업","20030515","","","","787-7000","","699911","제주특별자치도 서귀포시 표선면 토산리 17번지","제주특별자치도 서귀포시 표선면 일주동로 6347-17","","샤인빌리조트수영장","20070108143422","I","2018-08-31 23:59:59.0","","180543.713055","-21207.5867077","수영장업","사립","0","","","","","","",
"182","수영장업","10_35_01_P","6520000","CDFH3301012004100001","20040624","","03","폐업","03","폐업","20050901","","","","064-780-8223","","699914","제주특별자치도 서귀포시 표선면 표선리 40-69번지","제주특별자치도 서귀포시 표선면 민속해안로 537","","해비치야외수영장","20070108154238","I","2018-08-31 23:59:59.0","","185468.610117","-19180.3903883","수영장업","사립","0","","","","","","",
"183","수영장업","10_35_01_P","5050000","CDFH3301012019000001","20190724","","03","폐업","03","폐업","20191223","","","","0547752019","","","경상북도 경주시 천군동 130번지","경상북도 경주시 경감로 614 (천군동)","38118","경주엑스포 여름 Pool 축제","20191223170453","U","2019-12-25 02:40:00.0","","406789.87078531","261626.101558074","수영장업","사립","Y","","","","","","",
"184","수영장업","10_35_01_P","3220000","CDFH3301012019000001","20190926","","03","폐업","03","폐업","20200228","","","","571-3996","","","서울특별시 강남구 개포동 1273번지 포이초등학교","서울특별시 강남구 개포로22길 87, 포이초등학교 (개포동)","06311","포이 교육문화 체육센터","20200228093739","U","2020-03-01 02:40:00.0","","204558.513478279","441491.962568552","수영장업","사립","","","","","","","",
"185","수영장업","10_35_01_P","3930000","CDFH3301012019000001","20190905","","03","폐업","03","폐업","20210831","","","","031-490-3360","","","경기도 안산시 상록구 본오동 968-1 동산고등학교","경기도 안산시 상록구 충장로 56, 동산고등학교 체육관동 지하1,2층 (본오동)","15573","안산동산고등학교 수영장","20210831112251","U","2021-09-02 02:40:00.0","","187324.467703542","420544.060849929","수영장업","사립","Y","2","0","0","0","","",
"186","수영장업","10_35_01_P","5350000","CDFH3301012019000001","20190916","","03","폐업","03","폐업","20211109","","","","055-343-7368","","","경상남도 김해시 진영읍 본산리 921","경상남도 김해시 진영읍 본산1로 29, C동 1층","50857","진영아쿠아","20211109143944","U","2021-11-11 02:40:00.0","","358745.478162891","202628.163072362","수영장업","사립","Y","1","0","5105.68","0","","",
"187","수영장업","10_35_01_P","3600000","CDFH3301012001000003","20011025","","03","폐업","03","폐업","20081230","","","","062-366-2488","","502811","광주광역시 서구 농성동 417-40번지","광주광역시 서구 죽봉대로 52  (농성동)","","씨티스포츠센타","20081230131626","I","2018-08-31 23:59:59.0","","189311.261943","184322.154391","수영장업","사립","0","","","","","","",
"188","수영장업","10_35_01_P","3600000","CDFH3301012002000001","20020115","","03","폐업","03","폐업","20110722","","","","","","502711","광주광역시 서구 내방동 700-1번지 기아자동차","","","기아수영장","20110722141022","I","2018-08-31 23:59:59.0","","188286.940482","184993.288202","수영장업","사립","","","","","","","",
"189","수영장업","10_35_01_P","3600000","CDFH3301012011000001","20111019","","03","폐업","03","폐업","20131008","","","","062-457-5000","","502711","광주광역시 서구 내방동 700-1번지 기아자동차 기아스포츠문화센터","광주광역시 서구 화운로 211 (내방동)","502711","(주) 알류 휘트니스코리아","20131008111125","I","2018-08-31 23:59:59.0","","188286.940482","184993.288202","수영장업","사립","","1","","","","","",
"190","수영장업","10_35_01_P","3600000","CDFH3301011999000001","19990930","","03","폐업","03","폐업","20150616","","","","","","502201","광주광역시 서구 농성동 260번지 광주상록회관 수영장","광주광역시 서구 상무대로 1147 (농성동)","502740","광주상록회관 수영장","20150616103438","I","2018-08-31 23:59:59.0","","189602.712426","184005.817456","수영장업","사립","","","","","","","",
"191","수영장업","10_35_01_P","3620000","CDFH3301012004000001","20040622","","03","폐업","03","폐업","20181004","","","","607-8012","","500240","광주광역시 북구 생용동 138번지 (야외)","광주광역시 북구 우치로 677 (생용동)","61028","광주패밀리랜드 수영장","20181004204629","U","2018-10-06 02:37:56.0","","189939.238971","191422.862248","수영장업","사립","","","","","","","",
"192","수영장업","10_35_01_P","3620000","CDFH3301011990000001","19901106","","03","폐업","03","폐업","20070206","","","","525-9275","","500010","광주광역시 북구 임동 620번지","광주광역시 북구 서림로 10  (임동)","","(주)무등수영장","20070206150958","I","2018-08-31 23:59:59.0","","189748.743708","185479.494071","수영장업","사립","0","4","","","","","",
"193","수영장업","10_35_01_P","3620000","CDFH3301011997000001","19970501","","03","폐업","03","폐업","20140901","","","","510-7000","","500827","광주광역시 북구 신안동 6-1번지","광주광역시 북구 경열로 249 (신안동)","","NC스포츠센타","20170808162225","I","2018-08-31 23:59:59.0","","191482.021148","184739.20172","수영장업","사립","","","","","","","",
"194","수영장업","10_35_01_P","3620000","CDFH3301012001000001","20010622","","03","폐업","03","폐업","20131101","","","","269-9998","","500785","광주광역시 북구 문흥동 996-3번지 라인상가 지하2층","광주광역시 북구 문산로 61, 상가동 지하층 105호 (문흥동)","500785","풀 수영장","20131101102336","I","2018-08-31 23:59:59.0","","192895.810215","187542.583838","수영장업","사립","","","","","","","",
"195","수영장업","10_35_01_P","5080000","CDFH3301012002000001","20021211","","03","폐업","03","폐업","20190424","","","","","","730050","경상북도 구미시 남통동 150-1번지","경상북도 구미시 금오산로 217-16 (남통동)","730050","J스포렉스","20190429180449","U","2019-05-01 02:40:00.0","","319209.681097803","292014.557333056","수영장업","사립","","","","","","","",
"196","수영장업","10_35_01_P","5080000","CDFH3301012003000001","20030416","","03","폐업","03","폐업","20101011","","","","475-4900","","730825","경상북도 구미시 옥계동 414번지 외5필","","","그린워터피아","20101011141945","I","2018-08-31 23:59:59.0","","327820.755785","294629.614114","수영장업","사립","","","","","","","",
"197","수영장업","10_35_01_P","5080000","CDFH3301012007000001","20070612","","03","폐업","03","폐업","20170828","","","","451-8500","","730050","경상북도 구미시 남통동 253번지","경상북도 구미시 금오산로 341 (남통동)","39309","금오랜드수영장","20180201134448","I","2018-08-31 23:59:59.0","","318445.839664268","291069.775747887","수영장업","사립","","","","","","","",
"198","수영장업","10_35_01_P","5080000","CDFH3301011989000001","19891227","","03","폐업","03","폐업","20030519","","","","451-8500","","730050","경상북도 구미시 남통동 253번지","","","금오산수영장","20040323174223","I","2018-08-31 23:59:59.0","","318445.839664268","291069.775747887","수영장업","사립","0","","","","","","",
"199","수영장업","10_35_01_P","5090000","CDFH3301011997000001","19971211","","03","폐업","03","폐업","20080102","","","","634-1114","","750910","경상북도 영주시 영주동 513번지","","","동진스포츠센타(종합체육시설업 중복 폐업)","20080102164335","I","2018-08-31 23:59:59.0","","","","수영장업","사립","0","","","","","","",
"200","수영장업","10_35_01_P","5090000","CDFH3301011999000001","19990910","","03","폐업","03","폐업","20160608","","","","637-5000","","750863","경상북도 영주시 장수면 화기리 683번지","경상북도 영주시 장수면 충효로2032번길 46","","장수관광농원 수영장","20160608153227","I","2018-08-31 23:59:59.0","","339398.883674476","363887.464030727","수영장업","사립","","","","47","","","",
"201","수영장업","10_35_01_P","5470000","CDFH3301012003000001","20030306","","03","폐업","03","폐업","20040610","","","","942-6666","","670803","경상남도 거창군 거창읍 대동리 88-18번지","","","한흥수영장","20100222132924","I","2018-08-31 23:59:59.0","","283226.180878161","243493.238213706","수영장업","사립","","","","1026","","","",
"202","수영장업","10_35_01_P","4980000","CDFH3301012015000002","20150804","","03","폐업","03","폐업","20180305","","","","","","","","전라남도 장성군 장성읍 안평장동길 13","57212","학교가자캠핑장","20180306182810","I","2018-08-31 23:59:59.0","","180113.513189","203703.117065","수영장업","사립","Y","","","","","","",
"203","수영장업","10_35_01_P","4980000","CDFH3301012017000001","20170906","","03","폐업","03","폐업","20210525","","","","","","","","전라남도 장성군 북하면 백양로 447","57204","북상휴양관 빨간자전거 캠핑장","20210526101042","U","2021-05-28 02:40:00.0","","186124.48586500000","214399.98356900000","수영장업","사립","Y","","","977.53","","","",
"204","수영장업","10_35_01_P","4820000","CDFH3301011997000001","19971222","","03","폐업","03","폐업","20131224","","","","","","540873","전라남도 순천시 별량면 덕정리 산 83번지","","","승주수영장","20131224175914","I","2018-08-31 23:59:59.0","","240900.27297","156194.53711","수영장업","사립","1","1","","2500","","","",
"205","수영장업","10_35_01_P","4820000","CDFH3301012001000001","20010519","","03","폐업","03","폐업","20090929","","","","755-6969","","540812","전라남도 순천시 서면 구상리 775-1번지","","","사계절풀장","20091005112623","I","2018-08-31 23:59:59.0","","249034.319032","165792.838996","수영장업","사립","Y","","","247.48","","","",
"206","수영장업","10_35_01_P","4920000","CDFH3301012010000001","20101116","","03","폐업","03","폐업","20150225","","","","433-4445","","527813","전라남도 강진군 성전면 월남리 725-1번지","전라남도 강진군 성전면 백운로 93-9","","자연이 좋은 사람들","20150225065422","I","2018-08-31 23:59:59.0","","173205.606731","138028.993385","수영장업","사립","","","1","431.9","","","",
"207","수영장업","10_35_01_P","4820000","CDFH3301011996000001","19960702","","03","폐업","03","폐업","20060208","","","","720-5550","","540965","전라남도 순천시 조례동 766번지","","","뉴코아수영장","20060209105356","I","2018-08-31 23:59:59.0","","247410.736824","163957.828215","수영장업","사립","1","2","","5795","","","",
"208","수영장업","10_35_01_P","4920000","CDFH3301011999000001","19990715","","03","폐업","03","폐업","20140515","","","","","","527882","전라남도 강진군 도암면 석문리 242번지","전라남도 강진군 도암면 봉황로 10","","도암초등학교","20140519095205","I","2018-08-31 23:59:59.0","","174760.245884","116992.700681","수영장업","사립","","","","","","","",
"209","수영장업","10_35_01_P","4800000","CDFH3301011996000001","19960514","","03","폐업","03","폐업","20061009","","","","061-272-0455","","530810","전라남도 목포시 산정동 994-4번지","","","(유)일성","20061009115729","I","2018-08-31 23:59:59.0","","143182.116838","145225.258471","수영장업","사립","0","","","","","","",
"210","수영장업","10_35_01_P","4800000","CDFH3301011997000001","19971024","","03","폐업","03","폐업","20080128","","","","061-279-5113","","530810","전라남도 목포시 산정동 1725번지","전라남도 목포시 죽산로40번길 16  (산정동)","","신목(주)현대수영장","20080128092609","I","2018-08-31 23:59:59.0","","142958.05799","145972.399258","수영장업","사립","0","","","","","","",
"211","수영장업","10_35_01_P","4800000","CDFH3301012006000001","20061009","","03","폐업","03","폐업","20160613","","","","061-273-0545","","","전라남도 목포시 산정동 994-4번지","전라남도 목포시 양을로41번길 24 (산정동, 중앙하이츠)","58640","(주)산정스포렉스","20160613152811","I","2018-08-31 23:59:59.0","","143182.116838","145225.258471","수영장업","사립","Y","","","","","","",
"212","수영장업","10_35_01_P","3030000","CDFH3301012009000001","20091210","","03","폐업","03","폐업","20180321","","","","2200-1600","","133070","서울특별시 성동구 행당동 168-1번지 왕십리민자역사 6층","","","(주)코브디엠씨","20180321161847","I","2018-08-31 23:59:59.0","","203292.151898869","451267.730901002","수영장업","사립","","1","","","","","",
