"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
26,18.4,46.5,18.3,62,241,"A",24.5
28,29.8,47.9,23.9,52,226,"A",28.7
28,11.6,47.6,28.4,54,246,"A",22.4
26,21.5,48,17.4,60,219,"A",24.6
36,15.8,49.7,14.2,49,230,"A",23
30,13.7,51.4,16.4,54,243,"A",23.1
32,10.7,59.9,20.36,53,266,"A",25.9
28,10.2,62.2,18.3,55,262,"A",25.5
43,15.7,65.4,24.1,55,246,"A",27.2
22,15.7,50.6,17.2,76,273,"A",25.1
25,13.1,45.1,23.5,58,244,"A",20.5
27,22.8,47.7,19.1,53,225,"A",25.3
40,23.2,45.4,26.6,56,210,"A",24.8
59,18.4,37.8,16.8,36,185,"A",21.8
24,15.7,48.9,23.1,69,226,"A",19.7
38,24.7,43.6,16,45,231,"A",27.3
38,18.2,40.4,17.5,62,236,"A",22.5
39,22.1,51.2,17.3,46,239,"A",24.4
27,15.9,43.4,17.6,59,239,"A",22.4
33,11.1,41.9,24.2,60,237,"A",22.8
34,9.2,49.7,24.5,55,235,"A",23
37,19.4,47.4,19.1,73,222,"A",27.5
25,10.2,49.1,20.1,57,241,"A",20.6
25,15.1,47.8,28.1,51,236,"A",23
40,15.2,44.7,25.2,55,228,"A",25.2
51,18.3,43.9,25.4,57,213,"A",24.7
26,11.5,38.7,15.4,63,249,"A",22.2
45,19,42.7,21.7,44,212,"A",23.4
44,19.2,47.4,17.2,63,188,"A",25.5
63,17.3,40.5,13.7,32,169,"A",21.3
32,17.6,58.3,17.9,51,243,"A",26.3
24,11,51.4,16.9,58,240,"A",24.9
29,13.4,47.1,19.8,70,258,"A",22.7
30,21.2,50.3,18.1,60,234,"A",25.9
54,23.4,35.9,15.6,46,179,"A",23.3
25,12.2,44.4,17.5,56,234,"A",22.7
29,7.4,41.7,15,69,228,"A",21.2
28,19.6,48.9,21,54,237,"A",23.9
60,20.7,39.4,16.8,41,175,"A",22.1
40,19.1,40.6,19.1,50,220,"A",21.6
22,10.2,43.4,20.7,55,243,"A",20.8
39,18.3,41.5,14.6,49,223,"A",23.8
30,12.6,40.7,19.3,60,236,"A",21.7
62,15.7,38.9,12.9,36,200,"A",23.7
37,18.2,44.8,17.6,51,242,"A",24.2
27,19.3,44.3,16.3,65,257,"A",24.8
61,22.7,37.2,20.9,36,193,"A",24.7
45,20.1,46.1,14.5,46,206,"A",22.9
43,25.2,45.6,19.6,52,231,"A",23.6
46,12,51.6,20,49,234,"A",21.7
30,19.4,49.7,22.5,50,224,"A",26.4
29,18.7,54.3,16.6,61,254,"A",27.2
26,14.7,61.3,20.5,57,266,"A",27.8
30,12.3,49,18.2,60,237,"A",23.3
28,19.2,63,23.4,57,247,"A",30.1
26,13.9,45.8,21.1,53,236,"A",19.7
35,25.3,35.8,14.8,50,230,"A",24.5
31,17.8,46.9,17.2,50,234,"A",22.2
49,15.5,39.9,15.6,51,182,"A",22.4
60,17.3,42.7,13.4,31,191,"A",23.8
61,18.3,29.2,13.5,31,188,"A",20.2
42,19.8,39.7,22,44,235,"A",24.1
26,17.5,35.1,19.9,57,243,"A",21.2
31,16.2,56.6,22.1,56,215,"A",26.5
32,28.6,50.4,15.6,49,225,"A",23.9
25,12.8,35.7,17,54,240,"A",19.5
36,21.5,57.8,22.5,60,249,"A",22.1
21,12.7,48,19.2,57,232,"A",22.8
34,18.1,57.9,19.4,52,234,"A",25.2
60,14.2,41.7,15.5,32,182,"A",19.5
24,15.9,40.2,16.7,61,240,"A",23.8
23,23.4,43.2,17.2,59,253,"A",24.5
21,17.4,48.2,27.8,56,238,"A",23.1
43,27,42.6,14.8,50,220,"A",24.9
31,20.7,58.2,18.4,50,238,"A",26.4
50,13.9,43.8,19.1,47,216,"A",22.8
27,16.2,49.3,16.5,55,229,"A",25.9
41,17.5,49,22.8,64,213,"A",24.7
60,10.3,42.3,22.1,45,215,"A",22.5
33,11.6,54.2,22.5,55,264,"A",24.5
23,21.5,57,17.9,55,241,"A",27.5
45,15.1,46.3,21.8,53,225,"A",24
37,16.7,50.6,18.6,55,255,"A",25.7
31,16.7,44.9,15.8,49,273,"A",24.5
32,18.7,51.8,17.7,55,239,"A",22.9
23,16.5,51.3,20.1,61,234,"A",25.7
63,22.6,38.8,18.8,34,151,"A",24.3
28,7.2,46.4,28.2,56,251,"A",22.5
28,19.1,48.4,19.5,56,230,"A",25.6
50,15,42.3,17,41,221,"A",21.5
27,14.9,52.3,16,53,233,"A",22.8
28,20.5,46.6,20.6,55,239,"A",22.7
35,14.9,50.4,15.1,46,237,"A",23.9
63,17.9,39.1,13.7,43,185,"A",23.4
37,16,47,15,47,220,"A",21
28,20.5,48.6,20.6,55,223,"A",24
29,23.7,53.1,23.5,63,223,"A",24.2
30,18.9,47.1,15.1,67,181,"A",26.6
21,12.9,45.5,18.1,57,238,"A",23
29,17.5,45.3,18,55,254,"A",24.8
25,15.4,49.5,17.2,57,248,"A",22.7
22,11.2,53.1,17.3,65,266,"A",24.7
29,14.5,57.7,26.4,62,234,"A",24.6
28,15.5,48.4,16,59,248,"A",24.9
39,12.8,47.8,16.2,49,219,"A",23.7
40,24.5,47.2,21,46,220,"A",24.8
58,19.2,40.4,20.1,37,209,"A",22.5
37,28.9,42.7,17.3,51,242,"A",31.9
54,18.2,39.7,17.7,39,205,"A",24.2
22,15.4,47.9,16.7,61,228,"A",24.1
28,17.4,42.9,18.7,67,261,"A",23.4
28,11.6,46.9,19.7,54,230,"A",21.9
44,10.3,50,18.4,50,221,"A",21.8
41,18.7,43.1,17,56,236,"A",23.2
29,13.8,51.7,16.6,76,283,"A",25.7
31,21.3,45.6,19,51,241,"A",23.7
26,13.9,48.6,15.3,55,260,"A",24.7
32,23.8,51,16.5,51,215,"A",24.5
35,15.8,43.1,18.3,45,240,"A",24.3
64,18.7,36.4,18.2,40,178,"A",22.7
41,19.4,48.8,15.9,54,223,"A",25.3
25,15.6,54.1,17.4,62,235,"A",25
60,21.9,43.2,14.5,37,210,"A",25.6
34,17.6,55.6,18.7,49,255,"A",23.6
38,20.9,53,16.9,51,238,"A",25.5
36,9.4,47.1,14.8,50,241,"A",21.8
34,15.7,44.5,18.3,65,241,"A",22.6
25,9.9,49,26.7,58,251,"A",22.5
62,21.45024,29.2,19.8,33,181,"A",23.7
61,23.8,40.3,22.2,47,182,"A",26.7
33,17.2,51.9,25.2,47,250,"A",27
29,12.7,5.3,17.6,53,227,"A",24.1
21,22.2,45,25,55,230,"A",22.4
55,21.5,39.6,19,39,185,"A",22.8
36,18.8,45.1,19.6,57,228,"A",24
31,13.2,55.3,19.2,57,225,"A",25.8
60,12.8,43.4,13.5,37,202,"A",19.7
35,18.7,47,30,48,241,"A",24.5
30,13.7,51,16,53,252,"A",24.6
26,12.2,58.7,18.7,59,222,"A",25.5
21,14.3,39.3,19.2,60,246,"A",24.5
60,15.7,35.2,17.4,31,157,"A",22.2
36,21.8,58.2,15.7,60,243,"A",28.3
30,18.1,57.4,22,58,243,"A",24.5
25,12.6,63.1,22.8,59,276,"A",24
31,8.2,49.5,27.3,53,260,"A",19.9
27,12.5,55.9,30.7,59,259,"A",23.6
35,20.1,53.6,21.3,45,242,"A",23.7
64,26.3,31.6,19.5,32,181,"A",24.6
29,20.2,42.7,15.7,60,233,"A",22.8
59,17.1,43.1,19.4,49,209,"A",22.8
43,12.1,41.3,17.7,44,217,"A",21.8
32,20.3,44.3,16.4,56,221,"A",25.6
35,21.4,39.9,20.7,47,225,"A",25.6
29,21.1,49.1,15.5,55,240,"A",25.4
60,10.5,47,16.3,51,196,"A",23.9
62,22.8,42.1,14.6,46,204,"A",24.8
24,18.4,56.6,24.5,55,254,"A",24.5
28,21,49.4,17,52,220,"A",24.6
26,14.7,51.1,19.2,51,249,"A",21.6
31,16,46.4,17.4,52,201,"A",19.6
25,19.2,44.5,16.4,52,225,"A",22.4
57,13.1,44.8,25.2,47,215,"A",22.3
25,14.2,39.4,15.1,54,227,"A",21
22,10.2,44.9,23.6,66,233,"A",24.5
30,20.2,47.9,20.9,55,241,"A",25.5
53,15.2,38.4,20.8,44,211,"A",20.8
21,18.4,39.6,28.6,57,241,"A",23.3
31,21.4,41.5,14.6,57,216,"A",23.8
29,18.3,57.1,24.1,65,242,"A",26.3
62,15,39.3,16.7,43,195,"A",23
27,13.5,45.8,21.1,61,239,"A",22.3
60,25.9,42.2,18.8,43,210,"A",22.2
39,11.7,46.1,16.5,45,237,"A",23.2
45,19.3,43.7,15.4,50,213,"A",23.6
26,12.3,39.3,16.3,62,224,"A",23.1
50,9.8,43.5,16.7,45,201,"A",22.4
45,19.8,51.3,21.6,54,249,"A",26.7
60,13.7,38.3,13.5,41,189,"A",19.2
25,18.7,53.7,26.3,66,208,"A",27.7
28,10.1,45.2,18.4,54,229,"A",23.1
28,12.1,42.9,20.3,52,247,"A",21.9
25,5.5,54.4,16.3,60,234,"A",23.3
28,19.4,47.9,20.2,58,259,"A",23.3
57,18.3,34.3,23.5,36,215,"A",23.1
36,12,50.2,22.4,55,220,"A",23
43,15.3,45.3,16.6,45,218,"A",25.4
23,12.9,49.5,25.4,55,243,"A",23.5
25,24.4,48.6,18.6,59,211,"A",25.6
55,21.3,43.2,21.4,46,191,"A",24.4
32,16.8,25.6,18.3,68,236,"A",26.6
21,16,52.2,18.6,57,258,"A",23.7
57,21.7,49.5,14.8,39,206,"A",25.7
37,15.1,55.6,31.4,53,273,"A",24.7
36,21,52.5,18,47,219,"A",25.5
42,12,56,16,46,215,"A",23
59,23.1,43.9,15.5,39,215,"A",26.5
31,18.2,59.5,25.4,65,263,"A",24.8
63,16.8,37.7,21,49,187,"A",22.2
26,16.8,51.6,20.7,56,238,"A",25.1
26,8,45.8,19.1,67,231,"A",22.8
60,20.2,45,16.5,39,181,"A",23.8
21,16.3,42,18.6,59,214,"A",21.5
24,9.3,69,17,60,288,"A",24.7
23,12.8,53.9,17.9,71,245,"A",24.2
28,9.7,53.2,16.4,60,253,"A",24.2
26,12.7,45.7,20,63,250,"A",23.9
40,16.8,41.7,15,52,212,"A",21.5
26,11.9,46,15.4,71,243,"A",22.7
35,20.5,47.9,19.9,60,220,"A",23.8
57,14.2,40,19.2,51,211,"A",23.2
63,12,43.2,20.8,34,185,"A",26.1
28,14.5,53.9,21.3,51,234,"A",22
45,15.5,44.7,27.3,46,248,"A",23.7
27,20.4,58.7,16.7,51,226,"A",25.7
63,13.1,34.4,26.5,52,189,"A",20.4
61,20.8,35.7,12.1,38,188,"A",22.5
27,19.4,43.7,17.6,61,209,"A",23.8
23,13.6,53.1,18.7,59,245,"A",22.8
32,23.1,45.7,18.1,60,195,"A",26.7
55,9.8,45.9,20.3,48,219,"A",19.9
30,13.8,47,18,58,237,"A",21.4
24,15.4,46.2,21.1,59,256,"A",23.5
24,16,49.8,25.9,56,252,"A",24
25,16.4,47.8,15.9,54,222,"A",22.3
21,16,52.5,20.9,55,260,"A",26.5
47,21.5,38.6,19.3,45,227,"A",24.1
61,28.9,38.4,13.7,37,187,"A",26.1
31,22.9,57.7,15.5,50,221,"A",25.1
26,21.6,59.6,25,66,230,"A",29.5
27,16.3,52,19.2,61,236,"A",24.3
60,8.7,43.4,16.6,31,210,"A",19.9
30,23.4,47,15,55,204,"A",25.9
39,17.8,47.9,16.9,57,234,"A",25.9
37,16.1,64.5,24.3,58,241,"A",26.2
56,15.6,40.4,17.6,50,218,"A",21.4
25,21.6,53.1,28.6,53,242,"A",27.7
39,14.7,43.1,15.2,54,220,"A",21.3
60,17.6,41.5,14.6,31,186,"A",22.4
22,21.8,54.7,21.5,64,250,"A",28.4
40,13.3,49,22.9,65,253,"A",23.5
22,13,46.6,16.4,60,262,"A",23.6
56,17.7,47.7,19.7,37,190,"A",23.5
40,21.01,42.8,20,45,232,"A",22.4
60,24.3,41.7,13.7,37,189,"A",24.6
62,17.6,38.3,14.4,32,174,"A",20.9
35,13.1,40.2,33.1,45,243,"A",22.3
27,16.5,45.9,23.8,52,222,"A",23.5
25,14.2,53.4,16.9,58,245,"A",22.6
40,11.8,50.1,14.8,62,234,"A",22.2
35,20.7,56.6,20.9,52,225,"A",24.2
25,11.9,53.6,21.1,75,265,"A",22
60,21.9,40,21,32,172,"A",25.7
30,16.8,53,28.5,60,231,"A",27.6
60,23.4,41.6,14.3,32,191,"A",25.6
40,17.5,57.7,28.8,70,235,"A",25.1
46,15.3,44.8,17.3,49,243,"A",21.4
22,16.8,42.7,27.8,57,237,"A",23.1
31,11.7,50.4,21,52,225,"A",24.1
28,14,45.4,18.8,67,247,"A",23.3
25,16.1,50.1,20,62,221,"A",23.5
28,7.2,40.4,16.7,59,231,"A",21.1
29,11.4,49.3,22.2,55,247,"A",20.1
60,13.5,42.8,13.3,50,182,"A",24.4
35,20.1,52.2,20.1,45,245,"A",22.8
64,26.5,44.6,12.5,38,223,"A",26.8
22,16.3,47.7,26.6,61,237,"A",26.5
32,16.3,46.7,22,57,236,"A",21.9
25,14.3,38.3,16.7,62,239,"A",20.7
42,14.2,49.6,28.3,62,225,"A",25
62,24.2,44.7,18.6,44,195,"A",24.9
27,14.5,54.8,15.3,60,205,"A",21.3
38,12.9,45.1,20.1,46,230,"A",21.7
24,14.1,44.9,18.5,57,235,"A",23.4
30,10.5,47.9,16.4,49,263,"A",22.6
23,16.9,40.2,25.9,59,259,"A",23.4
51,21.9,37,20.5,51,215,"A",22.9
64,15.3,34.6,12.5,43,170,"A",20.7
26,13.8,40.3,16,54,225,"A",23.3
50,18.9,38,15.4,38,203,"A",21.9
49,18.2,48.7,13.6,46,208,"A",24.6
32,20.5,47.1,15.9,58,227,"A",23.7
39,15.9,30.5,27.5,47,231,"A",19.7
42,9.8,50.3,29,60,237,"A",23.9
34,18.8,49.4,16.1,55,221,"A",22.5
36,21.9,65.1,15.1,45,223,"A",31.2
27,17.5,45.5,19.4,53,247,"A",23.4
32,17.4,52.2,22.5,54,222,"A",23.2
63,14.4,39.6,12.8,44,177,"A",21.1
47,20.7,50,16,45,225,"A",27.2
26,16.8,50.6,22.1,57,255,"A",26.1
32,18.8,54.9,21.5,50,250,"A",26.7
29,14.5,49.7,22.1,51,227,"A",22.4
25,10.8,52.9,22.7,61,235,"A",23.1
37,14.3,47.3,26.8,52,233,"A",24.4
60,8.6,39.6,12.7,48,179,"A",20
29,21,46.4,15.2,54,235,"A",25.8
59,10.1,36.5,21.8,42,199,"A",21.2
34,14,51.7,14.6,57,247,"A",24.7
40,14.6,46,17.3,50,256,"A",21.8
32,20.1,48,16.5,54,253,"A",25.5
28,16.1,44.6,23.9,57,239,"A",22.2
44,14,45.7,15.3,44,191,"A",21.5
31,11.9,56.1,25.5,56,242,"A",23.3
27,13.6,43.9,18.9,65,264,"A",23.2
40,22.6,48,15,52,217,"A",25.3
29,16.9,43.9,16.8,63,245,"A",25.5
44,20.9,37.5,17.5,48,226,"A",21.5
36,15.2,53.5,16.5,63,150,"A",24.2
28,16,52.7,16.3,62,233,"A",26.6
37,22.3,49.2,15.5,57,249,"A",22.9
38,13.6,55.2,25.5,70,220,"A",22.3
25,12.3,51.4,15.9,60,260,"A",24.2
27,12.1,55.3,17.5,63,261,"A",23
36,19.9,45.8,20.6,71,234,"A",24.6
21,18.7,37.3,19.7,61,251,"A",21.9
35,21.4,45.4,17.9,58,219,"A",23.3
47,14,45.4,22.5,55,222,"A",22.2
27,14.8,47,23.8,55,245,"A",23.3
40,18.8,53.6,14.2,55,223,"A",25.5
28,16.9,42.7,20.3,64,229,"A",24.3
35,12.5,47.4,21.4,53,249,"A",24.7
63,18.9,49.4,13.3,32,186,"A",24.6
26,8.9,43.5,18.5,53,244,"A",22.8
45,14.3,50.4,22.5,56,258,"A",25
25,10.3,51.1,18,65,239,"A",26.1
30,18.8,49.5,22.3,47,224,"A",24.1
23,11.2,40.7,16.8,56,258,"A",21.8
26,18.5,41.9,18.7,52,251,"A",24.6
21,14.8,43.1,28.2,56,283,"A",22.4
29,11.7,52.5,24.7,54,249,"A",22.8
30,19.7,47.8,17.5,51,217,"A",26.4
33,20.3,45.7,18.6,49,222,"A",23.4
34,15.6,55,24.8,51,237,"A",25.8
45,17.9,41.3,14,57,225,"A",24.5
35,21.5,37,17.4,52,229,"A",27.3
30,21.9,43.7,20.9,59,242,"A",24.5
22,11.6,53.2,23.5,56,238,"A",23
29,14,41.9,15.5,62,227,"A",24
26,33.6,50.5,26.6,51,234,"A",22.5
32,19.3,54,15.5,53,225,"A",25.2
21,11.4,40.7,16.7,60,253,"A",22.2
45,17.9,41.4,20.1,53,211,"A",22
33,18.8,48.9,22.1,50,215,"A",25.9
26,15.1,48.6,22.4,57,237,"A",24.4
30,25.7,41.4,15.8,55,222,"A",25
60,17.8,42.9,17.1,32,203,"A",24.4
30,17.4,41.9,14.3,71,241,"A",20.7
25,9.7,44.5,15.8,63,228,"A",22.2
25,12.5,54,18.9,57,252,"A",25.3
48,15.5,44.2,13.9,49,224,"A",24.9
39,22,42.5,14.8,49,227,"A",24.6
63,16.9,41.9,16,37,190,"A",24.1
21,15.1,46.4,25.7,55,269,"A",26.2
26,15.3,46.4,15,53,248,"A",20.7
62,28.5,34.8,17.7,41,179,"A",21.8
29,14.6,52.6,29.8,61,261,"A",25
58,14,32.4,14.1,46,187,"A",20.3
41,23.7,40.4,15.9,54,218,"A",24.2
54,16.7,42.5,20.3,50,182,"A",22.1
27,13.7,49,19.6,59,240,"A",25.8
21,10.9,47.6,17.9,56,238,"A",22.3
21,14.2,47.2,22.3,65,252,"A",23.1
23,14.2,39.7,17.1,58,231,"A",20.5
34,15.9,51.3,23,53,245,"A",25
44,23.4,52.3,16.3,44,204,"A",25.6
32,23.4,53.4,26.2,59,248,"A",25.9
30,16.8,42,14.5,53,229,"A",21.6
61,15.5,48.5,12,31,197,"A",22.8
59,18.6,49,19.6,35,197,"A",23.9
25,17.2,52.7,22.6,54,254,"A",25.4
25,23.7,45.7,15.5,58,236,"A",24.5
31,19.2,51.7,26.2,60,211,"A",27.6
21,17.5,39.6,24.8,56,230,"A",22.6
25,13.5,38.6,19.7,56,225,"A",20.8
32,14.5,55.3,16.1,59,248,"A",25
60,21.2,36,19.9,38,170,"A",24.5
25,20,49.9,17,51,239,"A",26.9
26,13.8,54.7,15,65,228,"A",24.6
35,24.6,51,17.6,52,205,"A",24.8
48,17.9,38.2,14.3,42,232,"A",22.9
48,19.6,36.9,20.9,50,204,"A",23.7
25,15,49.9,17.1,56,231,"A",23.5
24,15.5,50,26.2,63,235,"A",23.6
27,13.5,46,23.9,51,207,"A",22.5
28,15.1,55,15.4,68,234,"A",24.1
55,19.4,40.9,25.6,35,199,"A",23.6
49,13.7,48.6,18.4,50,218,"A",23.3
39,13.2,50.8,20.5,52,261,"A",24
61,19,41.4,17.9,48,211,"A",23
30,13.4,49,17,51,264,"A",25.8
26,15.3,50.3,23.2,60,236,"A",23.2
60,14.9,40.8,15.4,46,169,"A",21.8
22,18.3,48.8,21.5,55,266,"A",24.9
56,25.6,41.3,15,35,202,"A",26
24,9.5,46.7,24.2,58,254,"A",21.8
28,16.6,53,19.4,52,246,"A",24.7
32,14.2,55.5,29.9,60,238,"A",22.8
27,20.9,51.1,17,55,205,"A",22.3
37,19.5,41.9,18.7,48,223,"A",26.7
21,14,52.5,16.7,56,265,"A",23.1
32,20.7,58.8,15.2,54,240,"A",28.6
25,17.9,48.7,18.9,53,224,"A",25.2
21,13.1,42.8,28,56,228,"A",22.1
28,13.1,44.4,23.3,54,236,"A",23.8
26,21.4,58.1,19,54,235,"A",25.3
41,15.3,50.9,21.5,54,236,"A",24.1
21,11.6,43.5,19,63,236,"A",20.3
31,18,46.5,18.6,58,218,"A",24.4
23,10.9,58.5,17,55,238,"A",24.5
27,20.3,47.1,23,71,235,"A",21.3
26,11.1,49.7,15.3,54,253,"A",25.8
51,19,34.1,17.1,52,210,"A",22.9
27,15.2,48.4,18.3,53,226,"A",23.6
25,16,59,25,56,275,"A",27.1
32,17.9,42.6,20.4,58,234,"A",22.1
23,16.3,39.6,19.6,56,230,"A",22.6
33,18.7,46.1,15.7,63,247,"A",21.8
26,14.4,44.2,17.1,54,189,"A",21.6
23,17.5,46.8,20.2,63,235,"A",24.2
51,21.1,47.3,15.4,43,188,"A",24.9
27,16.7,48.6,16.4,60,251,"A",23.2
38,10.2,50.5,18.9,54,243,"A",23.9
21,13,41.3,18.9,56,230,"A",23.2
60,19.6,46.4,21.7,42,200,"A",23.7
42,17.9,44.7,20.5,54,226,"A",24.6
64,20.1,44.1,14,36,190,"A",23.6
36,20.5,48.5,19,52,223,"A",25.7
43,16.1,40,14.6,57,230,"A",25.8
27,11.9,47.9,18.8,55,239,"A",23.4
31,17.9,44.7,20,55,250,"A",22.9
24,10.7,44.9,21.3,61,251,"A",23.9
44,6.6,45.3,15.2,53,226,"A",18.6
43,17.5,51.9,20.3,52,211,"A",27.6
27,16.2,42.2,16.9,53,240,"A",21.8
27,19.8,45,17.4,53,200,"A",23.6
28,14.6,57.5,25.2,70,242,"A",23.7
21,18,35.9,21.4,67,268,"A",22
44,18.2,42.4,25,56,242,"A",26
30,9.8,46.2,16.6,56,245,"A",21.2
61,18.3,40.9,17.7,46,211,"A",23.1
22,18.6,53.5,22.1,67,260,"A",25.9
46,16.4,50.5,24.3,52,234,"A",24
38,15.6,44.5,19.4,50,230,"A",23.8
41,14.1,41.6,24.6,47,237,"A",24.2
26,22.2,58.4,16.2,54,235,"A",26.8
38,13,59.4,20.4,53,249,"A",23.8
34,15.8,47.4,20.1,49,231,"A",22.2
26,12.5,44.5,18.4,54,223,"A",23
28,12.1,55.1,21.2,59,230,"A",23.4
41,15.1,55.1,16.4,66,264,"A",24.3
37,14.4,52.9,19.1,54,234,"A",24.7
54,15.2,43.8,16,45,231,"A",24.9
39,20.1,63.5,16.4,45,229,"A",25.6
32,18.4,41.4,15.2,53,219,"B",23.3
28,17.1,43.5,27.1,45,217,"B",22.4
33,36.9,45.9,12.3,42,234,"B",25.2
28,14.4,57.9,12.1,55,213,"B",24.7
26,21,41.3,15.1,53,225,"B",24.7
44,12.9,44.5,11.6,49,196,"B",21.9
34,16.3,46.3,14.2,55,220,"B",22.8
58,19.8,36.8,18.3,38,205,"B",23.7
56,16.5,41.6,17.8,30,198,"B",20.5
40,17.8,49.5,12.1,48,213,"B",25.6
37,18.5,39.7,20.5,50,224,"B",24.8
21,19.5,45.6,12.7,54,194,"B",25.6
51,18.3,39.3,11.3,35,220,"B",21.9
48,17.3,48.8,16,49,225,"B",22.6
30,17.9,53.4,24.3,56,210,"B",23
27,19.8,47.6,20.6,48,213,"B",28.1
56,19.5,47.9,11.1,44,162,"B",23.7
27,22,47.9,14.5,53,170,"B",25.7
34,19.5,50,18.1,59,218,"B",24.6
32,15.2,48.3,21.1,64,254,"B",24
24,16.8,40.2,21.7,63,201,"B",21.8
28,17.2,52.5,11.7,56,257,"B",24.8
30,20.6,45.9,13,66,235,"B",25
29,25.3,47.3,16.2,53,181,"B",25.1
62,25.7,40.5,9.8,41,188,"B",24.7
38,20.5,46,26.2,46,204,"B",22.5
27,18.6,39.7,10.1,53,231,"B",23.5
57,24.1,42.1,9.5,30,212,"B",23.2
62,23.3,42.7,25,29,211,"B",23.8
36,19.9,47.3,15.4,39,215,"B",22.2
58,30.1,40.6,15.8,29,188,"B",26.4
64,8.5,34.9,7.6,33,166,"B",22.3
21,18.8,50.8,16.8,49,257,"B",24
27,13.9,47.8,14.1,49,244,"B",22.6
32,24.1,47.4,16.6,60,205,"B",24.7
21,17.2,40.8,15.4,55,213,"B",23.6
21,15.4,58.9,19.9,56,278,"B",25.8
27,19.9,40.9,22,52,209,"B",23.6
60,16.7,33.6,10.9,28,190,"B",20.6
59,25.9,40.6,22.4,34,188,"B",24.6
25,26,38.2,20.1,49,215,"B",22.4
26,24.7,67.6,16.2,46,219,"B",31.8
52,27.5,38.9,18.2,56,217,"B",27.3
36,17.9,48.8,16.3,59,228,"B",23.2
63,20.7,26.9,14.2,28,160,"B",23.2
28,13.8,44.5,11.4,66,247,"B",24.6
40,25,57.9,19.8,40,220,"B",29.2
41,18,43.3,17.3,47,246,"B",22.8
30,23.6,43.5,14.5,42,230,"B",24.4
55,20.6,45.4,12.5,40,216,"B",26.1
38,18,54.3,20,61,241,"B",25.4
41,20.7,44.6,23.3,60,212,"B",25.7
64,30.9,35.5,18.8,26,182,"B",25.5
26,16.4,35.2,15.4,51,225,"B",23.2
50,28.4,39,13.3,38,205,"B",24.6
25,9.9,44.6,11.5,55,221,"B",20.7
35,23.8,49,12.1,51,197,"B",26.3
63,24.3,40.4,17.3,28,168,"B",26.5
37,23,52.8,21.3,44,222,"B",26.2
35,22.8,46.4,16.7,47,216,"B",25.9
41,22,43.7,14.3,42,199,"B",26.3
29,23.6,51,17.2,55,231,"B",25.1
54,18.9,40.2,10.5,44,182,"B",22.2
28,14.9,45.9,23.8,58,230,"B",22.7
45,20.2,31,11.5,40,220,"B",23.2
22,18.1,51,11.6,57,158,"B",22.8
62,17.8,41,13,26,205,"B",23.7
31,12.7,46.6,10.6,58,253,"B",22.2
29,5,53.9,10.3,46,209,"B",24.7
32,21.2,45.3,15.4,45,209,"B",23.1
31,19.4,45.7,11.9,48,218,"B",24.7
22,13.1,49.7,16.7,51,248,"B",21.7
48,26.8,40,11.9,43,189,"B",25
34,19.7,45.9,20.5,57,233,"B",23.2
25,22,49.8,21.2,58,226,"B",23.7
25,15.7,41.2,19,45,232,"B",23.6
26,12.4,40.7,18.1,56,277,"B",22.6
46,22,52.3,9.1,38,218,"B",26.4
35,17.7,40.4,14.5,44,228,"B",23.7
37,20.8,62.3,25.3,57,224,"B",28.9
26,22.7,47.1,23.2,48,238,"B",26.8
21,11.9,38.8,13.4,54,208,"B",20.1
42,20.5,39.3,17.5,44,216,"B",23.9
60,35.2,31.9,7.4,27,146,"B",27.1
25,22,44.1,17.4,49,223,"B",26.5
26,17,53.6,21.2,58,218,"B",25.2
38,24.7,46.9,13.1,39,215,"B",25.8
27,24.1,39.9,15.1,45,211,"B",25.3
22,17.8,41.1,22.2,51,222,"B",21.9
58,19,43,12.7,31,170,"B",23.4
26,14.4,43.1,11.7,50,237,"B",22.2
28,22.6,33,12,49,200,"B",22.4
60,28.1,41.2,11.1,35,165,"B",25.7
29,10.6,44.5,18.6,53,239,"B",20.6
38,15.6,39,20.9,57,225,"B",24.1
35,15.7,36.4,27.3,46,198,"B",24.4
59,20,42,15.8,39,194,"B",23.8
58,17.8,43.6,9.7,34,180,"B",23.3
36,19.9,49.3,17.5,55,212,"B",27.2
60,29.3,32.9,16,28,191,"B",27.4
21,11.2,43,15.4,54,260,"B",23.5
44,19.5,51.6,14.2,41,225,"B",25.3
22,17,43.2,16.9,50,220,"B",22.4
60,21.2,40,13.5,36,189,"B",24.8
53,23.4,41.6,13.2,47,218,"B",23.7
46,19,44,16.4,41,195,"B",26.4
36,22.9,55.9,13,61,222,"B",29.6
44,18.8,42.1,14.9,42,206,"B",21.5
29,17.8,54.7,21.7,54,234,"B",26.3
24,11.6,54.6,17.5,52,259,"B",23.7
59,24.2,40.1,11,29,184,"B",24.8
41,22.8,43.8,16.3,46,205,"B",25.3
60,17.7,27.2,14.1,27,165,"B",20.6
63,15,43,12.6,28,197,"B",20.5
26,17.8,52.9,11.6,47,214,"B",24.6
56,18.7,36.6,20.5,38,205,"B",19.5
27,16.7,60.2,17.2,66,241,"B",22.9
26,18.1,42.4,17.9,57,234,"B",23.8
64,27.3,35.1,15.5,27,175,"B",23.3
52,23.5,44.1,11.3,36,182,"B",24
35,23.2,43.5,13.5,43,195,"B",22.7
41,21.3,49.1,13.4,42,225,"B",29.5
47,15.9,40.1,19.4,47,213,"B",24.7
